Plot,BigSurPlot,SiteID,OriginalSampleYear,Forest.Type,,,,,,,,,,,BurnSurvey,Basin,Chalk,,BARCseverity,CBI.mean,CBI.Int,CBI.Big,,,,,2009plot,2010plot,,,,,,,,,,,,,,,,,ownership,,,,,owner,own_category,,GPS.Device,Zone,Easting,Northing,Error.GPS,Averaged.points.GPS,Elevation,TMI,Slope,Plot.Aspect,Overall.Aspect,RoadLocationCategory,RoadUse,Landscape.Location,PlotNotes,Landuse.history,,,,,,,,,,Pram.0607,Pnem.0607,Ppseudo.0607,neg.isolation.0607,Pram2009,Psp2009,neg.isolation.09,samp.notes09,PCR.2009,isol.PCR.09,transect.09,Pram2010,Pnem2010,Ppseudo2010,,neg.isolation.10,PCRnotes10,PCR.10,isol.PCR.10,transect.10,Pram2011,Pnem2011,Ppseudo2011,,neg.isolation.11,Pram2013,Pnem2013,Ppseudo2013,,neg.isolation.13,,,,,,,,,,,,,,,,
16,BS016,BSSC,2006,1,,0,,,,1,0,,,1,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,1,,1,,,,,,,,,,,,,,1,yes,yes,no,Salmon Creek Trail/ Spruce Creek Trail,USFS,1,"USFS. Salmon Creek Trail to Spruce Creek Trail. About 1mi going out toward Dutra Flats. Plot is just E of a S to N running , Steep, narrow, dry-this-time-of-year drainage. We walked up to the west of the drainage (before you get to the drainage). A huge ~70cm large oak on the N Side of trail. Marks the flatish area where we headed up then went East across the drainage after you get into the forest.",UCD Trimble,10,650169.32,3965880.68,3.9,,430,4.979936123,33,339,4,1,2,mid-slope,"Moved plot to uphill side of trail. Original plot location was in the creek where there are not many trees and there is very difficult terrain. Plot is on rolling knowl, open understory w/ lots of vegetataion in the western quarter of the plot. No strong evidence of disease in here. Many spp. are dead this time of year. High canopy. Plot encompases both sides of small knowl.",Small deer trail running along contour E toW. ,,,,1,-,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,1,,,,,,,,,,
17,BS017,BSSC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,no,Salmon Creek Trail/ Spruce Creek Trail,USFS,1,"USFS. Salmon Creek Trail to Spruce Creek trail. About 1-1.5 miles after intersection, will reach a series of switchbacks. As coming out of these, trail is level and enters Lide forest. Plot is uphill from trail ~25m in this forest. Tag facing trail.",UCD Trimble,10,650649,3965824,7,,508,5.605394363,34,28,28,1,1,mid-slope,"Plot location adjusted due to Heavy heavy Poak. Open understory. Rocks falling from uphill lodged in trees causing MD. Rocky soil. Thick litter layer. Lots of leaf spots on QUPA but not Phytoph-like, maybe insect? No evidence of disease.",Evidence of fire in plot,,,,1,X,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BS018,BSSC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,no,Salmon Creek Trail/ Spruce Creek Trail,USFS,1,USFS. Salmon Creek Trail to Spruce Creek Trail. Up Salmon Creek Trail to the Spruce Creek trail. Out almost to Dutra flats in between the last switch back before you come out on the ridge in capparal. Right before you get to the Chapparal drop down into ME forest.,UCD Trimble,10,651003.26,3965656.61,4.8,,601,6.533334732,32,34,34,1 & 2,2,upper-slope,deep duff layer in here. Many seedlings are being eaten in here. Lots of woodrat homes in here. Had to put plot between trail b/c that is where it fell on GPS. We moved it a bit more into the forest to avoid the cahpparal. Boardered by chapparal to the E and SE. Symptoms on the bays for extra #1 and extra #2 were not all that great. No apparent evidence of disease. Late in season but hardly any plants in here.,Fire scar on uphill sides of most trees.,,,,1,X,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BS019,BSSC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,no,Salmon Creek Trail/ Estrella Camp,USFS,1,USFS. Salmon Creek Trail; Take Salmon Creek trail towards Spruce Creek camp junction. Take left trail toward Estrella camp. Cross trib and climb by rockface with sketchy trail. Walk about 250m more along trail and then head uphill off trail to SE. Steep and loose ascent. Plot spans a slight bowl as well as on edge of minor ridge about 70+ m up from trail,UCD Trimble,10,649704,3966330,4.1,,435,6.471121788,37,10,300,1,1,mid-slope,"Walk to plot is on very steep, very loose soil. Plot is on edge of small bowl with an aspect of about 10 dgerees as well as on edge of minor ridge. No apparent disease (SOD) in plot or area although good Phytoph symptoms on bay. Open understory. Late in season, many herbs may be dead.",,,,,,X,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BS020,BSSC,2006,1,,0,,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,1,,1,,,1,,1,,,,,,,,,1,yes,yes,no,Salmon Creek Trail/ Spruce Creek Trail,USFS,1,"USFS. Salmon Creek Trail to Spruce Creek Trail. Up Salmon Creek trail to split ~2mi, past Spruce Creek Camp into next large drainage and around the bend where we headed down on this narrow ridge boardered by a small steep drainage on either side of us. Walk down until ridge broadens out and it becomes less steep.",UCD Trimble,10,649849.72,3966771.69,4.6,,386,19.02230835,23,250,250,2,2,mid-slope,"Some beginning trees were across a draw where we did NOT lay the distance tape down in draw but we did keep the tape along the ground on far side of draw from center. Topo has plot way down in major drainage but we are far above it (~45m) in between 2 smaller draws. The trail on the map is not accurate. Many spp. of plants are dead in here this time of year. Hard to ID seedlings in here. Possibly much hybridization going on between QUAG and QUPA. Saw 2 garder snakes in here. we may have missed some of seedlings. sparse canopy, no apparent disease in here. A lot of spanish moss may have lead to the infection level=1 designation.", A low use trail running above the plot along contour. ,1,2019,,1,-,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,"1, PCR",2?,not P.ram,,,,,1,,,
22,BS022,BSSC,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,2,"1970, 1985",,,,,,,,,,,,,,,,,,,1,,yes,Yes,Lion Den/Salmon Creek trail,USFS,1,"USFS. Salmon Creek Trail; Plot was accessed from the top (Take Willow Creek Rd at the enterance of Tree Bones yurt resort all the way to the top and head out toward Lion Den. Trailhead is just past Lion Den Trailhead, just marked by a small cairn on the right hand (west) side road.) Follow trail down until close to coordinates. Head up drainage to the East and slightly to the left (N). Area has a more clear understory than the forest to the North. Plot is right on edge before forest thickens into more chapparal. Minor draw on N boundary of plot.",UCD Trimble,10,650092.05,3967957.16,4.6,yes,631,6.918651581,32,280,255,1,1,mid-slope,"GPS coordinates recorded at plot are about 20m different from the final Trimble average. We did have a hard time getting points but hopefully the Trimble average is good. Careful! Lots of poison oak along the trail down. Rocky soil. Plot is on the edge of the thicker chapparel forest. Pretty open understory. Very minor draw on the N side of the plot but drainage listed as the closest water source is the one that is on the S side of plot. Maybe some hybrids between QUAG and QUPA. MOST seedlings look like QUPA...no hairs, flatter , longer, a few are a bit cupped. QUWI?? seedlings are serrated with dusty white/green underside (maybe not QUWI but QUCH??). Infection looks possibly newer.",,,,,,X,,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BS026,BSWC,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,1,2,2,"1914, 1970",,,,,,,,,,,,,1,1,,,,,1,,yes,Yes,Willow Creek trail,USFS,1,"USFS. Willow Creek/ Los Burros Road; starts at the enterance to TreeBones Resort. Follow road up into the trees and see a dirt road that goes off to your left sharply down hill. Take that road to the end. It is a very rough road, need 4x4 low. Park at the start of the Willow Creek Trail. The trail splits ~1 mile out. One trail heads down to creek the other stays level. Head down to creek and boulder hop over creek. See old homestead site w/ hearth, follow trail up drainage. Plot is on little flat, old homestead site w/ large PSME nearby and in plot. The trails are not heavily used nor clearly marked which one you are suppose to take, with all kinds of little use trails all over the place in here.",Bart,10,642089.00,3974194.00,7,,220,5.888927937,15,116,164,1,1,upper-slope," In between 2 draws on a little shelf.  invasive ivy in a good portion of plot. Plot was designated veg type 2, but must have mistaken pines for SESE it is veg type 1, ME.",PSME log cut into firewood rounds in E part of plot. Low use trail heading through plot. Edge of East side of plot is along old road cut. Old homestead site w/ old debris around.,,,,,X,,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BS027,BSWC,2006,2,,0,,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,1,3,3,"1914, 1930, 1970",1,1,,1,,,1,,,1,,,,,,,,,1,yes,yes,Yes,Willow Creek trail,USFS,1,"USFS. Willow Creek Trail; starts at the enterance to TreeBones Resort. Follow road up into the trees and see a dirt road that goes off to your left sharply down hill. Take that road to the end. It is a very rough road, need 4x4 low. Park at the start of the Willow Creek Trail. Plot is just before Willow Creek Trail Camp area at road end and start of trail. On lower side of road (North and a bit west).  From the parking area walk back up the road to the first bay on the downhill, right side. Take a declinated reading of 303 and go 70m to the emergent SESE below. ",Trimble- Franks,10,641619,3973753,11,,244,5.235153198,41,360,360,2,4,mid-slope,"Bleeding cankers on LIDE, but this has historically always been Pnem. Fair amount of cankers in the area.",Area burned in 1970. Evidence of SESE logging. Large stumps. Plot is somewhat near to parking lot/landing so possible human disturbance due to this.,1,2013,,1,5,2,1,1,1,,1,,0,,,1,,1,1,,,1,1,,0,,,,,,,,,,1,1,,,0,2,,,,,,2,P. cactorum,,,,,,,,
32,BS032,BSSC,2007,1,,0,,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,1,,1,,,1,,1,,,,,,,,,1,yes,yes,yes,San Copoforo/ Foundation for the Preservation of the Mahayana Tradition,USFS,1,"USFS. San Copoforo; 4x4 Road is on FS land but to get through gates access was granted from FPMT (Foundation for the Preservation of the Mahayana Tradition) and caretaker Ian Livingston. Main access road is just a bit south of Ragged Point down by the Monterey County line on E side of HWY. Through gate and then follow road (Baldwin Ranch Road) up all the way to the top of the ridge where road splits. Go left and take first split to the left, on lesser-used road. Check w/Ian to find out the condition of that road and if you can go all the way out this way or not. No one really uses this road anymore it would be faster to go up this northern road if permission has been granted AND it has been cleared recently.  These direction are from the southern road, the main access road. So from the top head left (north) along ridge. (stay left at any splits) Almost 1/2 way don along the creek side in Bays. Across the creek is VERY steep.",UCD Trimble,10,650178.13,3962804.05,7,yes,296,15.77173615,21,176,232,4,4,riparian,"rocky, shallow soil. Pure bay forest. Lots of small bay. Dwd throughout the plot. Lots of sprouts are browsed. Lots of large exposed rocks. Plants are dead this time of year, making identification and cover classification difficult. Leaf symptoms do not look all that symptomatic. Creek is dry w/wet pools.",,,,,1,-,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,1,,"0, PCR",,,,,,,,,1,
34,BS034,BSSC,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,,,,,,,,1,,yes,no,San Copoforo/ Foundation for the Preservation of the Mahayana Tradition,USFS,1,"USFS. San Copoforo; 4x4 Road is on FS land but to get through gates access was granted from FPMT (Foundation for the Preservation of the Mahayana Tradition) and caretaker Ian Livingston. Main access road is just a bit south of Ragged Point down by the Monterey County line on E side of HWY. Through gate and then follow road (Baldwin Ranch Road) up all the way to the top of the ridge where road splits. Go left and take first split to the left, on lesser-used road. Check w/Ian to find out the condition of that road and if you can go all the way out this way or not. No one really uses this road anymore. Head a ways out there into large drainage w/trees. Head down southern grassy ridge.",UCD Trimble,10,651170.79,3963050.56,6,yes,637,6.178880215,24,316,276,2,4,upper-slope,"Hybrid oak looks like QUCH and QULO, on edge of grassland. No evidence of disease. Loose soil. Lots of dead plants this time of year. Holodiskus has health of a 2 only because not many leaves this time of year. Very difficult to assess herb cover and species right now because all plants are dead. dwarf mistletow in pines. oaks look a bit sparse in upper reaches of fine branches, maybe Insect Damage.",,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,BS035,BSSC,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,,,,,,,,1,,yes,no,San Copoforo/ Foundation for the Preservation of the Mahayana Tradition,USFS,1,USFS. San Copoforo; 4x4 Road is on FS land but to get through gates access was granted from FPMT (Foundation for the Preservation of the Mahayana Tradition) and caretaker Ian Livingston. Main access road is just a bit south of Ragged Point down by the Monterey County line on E side of HWY. Through gate and then follow road up and park in 1 of 2 turnouts that occur in the forested section of road. There is a faint trail (hunters and flagged) between these two turnouts. Follow trail into drainage and then continue down the rocky drainage (lots of poison Oak) (100m???) and eventually head N to gently sloping forest.,UCD Trimble,10,651826.77,3961935.52,4.5,yes,372,6.923808098,17,246,246,4,5,mid-slope,"Lichen in canopy may be what caused this area to get designated as infection level 1. Difficult to see seedlings because of thick understory! Very thick poak-come in Fall! Rock outcrop, boulder in plot on NW side. Late in season so difficult to ID and do cover for plants.",Cut bay stump in plot- seems odd.,,,,,X,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,BS038,BSBCR,2007,2,,1,1,,,1,0,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,3,"1985, 1999",,,,,,,,,1,,,"check habitat, UMCA, SESE and one oak",0,,,,,0,2,,yes,yes,Highlands Camp,Big Creek Reserve,2,"Big Creek Reserve; For this plot it would be easy to stay up at Whalepoint cabin. Make reservations on line prior to going down, recommended 4x4. There are maps at the Gatehouse where you sign in, so obtain one to help you if you have not done this before. Be sure to CHECK IN with reserve staff before going out to this plot since they feed condors in this general area and we dont want to interfere w/that project. Either from the gate house or Whalepoint cabin, (which is ____mi from the gate house) drive up to the ""X"" and continue toward Highlands Camp. When coming from the gate house and arriving at the ""X"" in the road, continue uphill to an area you can turn around, then head back toward the ""X"" but continue on the highest road toward Highlands Camp.  From the ""X"" continue _____mi until you get to the road junction w/Highlands Camp which switches back upon the road you are traveling, park off the road here, but be careful not to park in high grass for fire danger. Walk out Gamboa Ridge, into the grasslands, past a cement structure on your right and then head down, toward your right (North), following the grasslands to the plot in the Redwoods.",UCD Trimble,10,628366.74,3991424.44,4,yes,553,6.753228188,33,345,345,2,2,upper-slope,Lots of polka-dot symptoms in here on bays. Strange transitional forest in here. Right on edge of grasslands/manzanita/madrone and Quercus dominated forest with Ponderosa Pine nearby. Lots of small dwd. Lots of dead STBU. Vinca patch @107 degrees large! >5x5m. Lots of dead plants in here this time of year,"We found white bunny fur on the way here in the grasslands and lots in the plot. May have something to do with Vetana Wildlife Society's feeding condors nearby on Gamboa ridge. HUGE mountain lion scat very close by and in plot. Looks like fire came through and killed most of the trees, then there was resprouting and another fire came in killing the large sprouts which lye on the ground littering the floor. ",1,2007,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BS044,BSVIC,2007,1,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,2,3,5,"1911,1985,1999, 2008",,,1,,1,,,1,1,,,,,,,,,,1,yes,yes,recommended,Stone Ridge Trail,USFS,1,USFS. Stone Ridge Trail. Drive up Nacimiento Road to the summit. Head North (left) toward Cone Peak. This is an overnight backpacking plot w/a 4x4 access road. Drive ___miles from the Nacimiento Summit to the trail head the Vaciente Trail. Viciente Camp is ~2miles DOWN from Cone Peak Road. From Vicente Flat camp head out Stone Ridge Trail towards Goat Camp. ~4 miles out Stone Ridge Trail from Vaciente Flat Camp. Plot is about 50-60m above trail in a very very minor draw almost at ridge.,UCD Trimble,10,633590.57,3988463.09,2.3,yes,700,7.361507416,35,290,290,1,1,upper-slope,"Very open forest and many of the herbs have already died. Saplings look browsed on. Sparse understory. In a very slight draw, so layed the tape down on ground when necessary. Loose soil. Beautiful Forest! Southern side of plot has a large gap. E densiometer reading included some hillside.",Small game trails through plot. Old abandoned fence line near plot on N side.,1,2019,,1,-,,1,,,,1,,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,1,2,P. pseudosyringae,,,,,1,,,
45,BS045,BSVIC,2007,2,1,1,1,,1,1,1,1,,,0,0,1,0,n/a,N/A,N/A,N/A,2,3,5,"1911,1985,1999, 2008",1,,sampled,,,,,,X,,,modified. Trail put through the center,1,1,,,,,1,yes,yes,yes,Stone Ridge Trail,USFS,1,"USFS. Stone Ridge Trail. Drive up Nacimiento Road to the summit. Head North (left) toward Cone Peak. This is an overnight backpacking plot w/a 4x4 access road. Drive ___miles from the Nacimiento Summit to the trail head the Vaciente Trail. Viciente Camp is ~2miles DOWN from Cone Peak Road. From Vicente Flat camp head out Stone Ridge Trail towards Goat Camp. As trail drops down into Limekiln creek plot is downhill (but not directly) on canyon-side as forest opens up. Steep down. Very LARGE downed Lide in plot. Had a difficult time getting GPS coords. As trail enters into redwood habitat (actually standing under redwoods), will be descending toward creek, you will see a large burned SESE log down slope (SW) of trail, with large LIDE behind it. Plot is ~40m from trail in that direction. plot includes the large LIDE you can see from the trail. ....IN October of 2009 I received word that they would be restoring the Stone Ridge trail to it's original location. I then learned that the very center of our plot sits right on the old trail bed. Communications with the lead volunteer for this project are on-going, but at this point the rebar has been removed and trail work will commence in the Spring of 2010.",UCD Trimble,10,634570.29,3988173.81,14,yes,478,16.62158203,39,230,230,1,1,lower-slope,"Large downed Lide in plot. Plot moved because drainage was inaccessible. Difficult to get GPS coordinates. Plot has somewhat flat area in it to the SW side, otherwise very steep. Careful! Loose rocks.  ",Designated infection of 1 was likely fire damage. Deer trails in plot.,1,2011,,1,7,2,1,,,,1,,0,,,1,,0,0,,,,,,,,,,,1,1,1,,0,,,,,,,1,,,,,,,,,,,,,,
46,BS046,BSVIC,2007,1,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,2,4,6,"1911,1948,1985,1999, 2008",1,,1,,1,,,1,1,,,,,,,,,,1,yes,yes,recommended,Stone Ridge Trail,USFS,1,"USFS. Stone Ridge Trail. Drive up Nacimiento Road to the summit. Head North (left) toward Cone Peak. This is an overnight backpacking plot w/a 4x4 access road. Drive ___miles from the Nacimiento Summit to the trail head the Vaciente Trail. Viciente Camp is ~2miles DOWN from Cone Peak Road.  From Vicente Flat camp head out Stone Ridge Trail towards Goat Camp. After 1 or 2 miles along trail trail descends a very rocky ridge (trail cutting through chapparal) heading towards a knoll with a patch of woodland on it. Once trail reaches knoll and switches back to the right to head into forest, head off trail further out knoll/ridge and down hill to the west. ",UCD Trimble,10,634734.16,3987586.34,4.5,yes,575,7.075870037,36.5,325,325,4,1,upper-slope,Thick understory- difficult to see seedlings. Lot of poison oak! Steep plot with loose soil. Difficult to do plant cover as there is high diversity and overlapping layers. Some plants have already died and make identification difficult. E and S densiometer readings had some hillside included in cover.,"Area is highly disturbed, lots of trails- very likely pigs digging up soil.",1,2019,,,-,,1,,,,1,,0,,,1,,1,1,,,,,,,,,,,,1,,,0,,,,,,,,,,,"1, PCR",4,Globisporangium,,,,,1,,,
47,BS047,BSVIC,2007,1,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,2,3,5,"1911,1985,1999, 2008",1,,1,,1,,,1,1,,,,0,,,,,0,1,yes,yes,recommended,Stone Ridge Trail,USFS,1,"Stone Ridge Trail, USFS. Drive up Nacimiento Road to the summit. Head North (left) toward Cone Peak. This is an overnight backpacking plot w/a 4x4 access road. Drive ___miles from the Nacimiento Summit to the trail head the Vaciente Trail. Viciente Camp is ~2miles DOWN from Cone Peak Road. From Vicente Flat camp head out Stone Ridge Trail towards Goat Camp. Walk past drainage plot is in and walk up grassy ridge. We followed a game trail through oak woodland to get to plot.",UCD Trimble,10,635167.64,3988103.95,3.4,yes,679,8.025403976,33,85,164,1,1,upper-slope,"Many tiny little QU seedlings. Some most lekly missed. Grasses dead in here right now, making identification difficult. Open understory. Very nice. Some dwd too small to make it into the cwd survey. All dwd from same tree. Very steep canyons in here! some hillside in E densiometer reading.",,,,,,-,,1,,,,,,none,,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,none,,,,,,,,,,
48,BS048,BSVIC,2007,2,,1,1,,1,1,0,,,,0,0,1,0,n/a,N/A,N/A,N/A,2,2,4,"1985, 1999, 2008",1,,,,,,,,1,,,riparian,0,0,,,,,1,yes,yes,yes,Vaciente Flat Trail/ Cone Peak Road,USFS,1,USFS. VicienteTrail; Drive up Nacimiento Road to the summit. Head North (left) toward Cone Peak. This is an overnight backpacking plot w/a 4x4 access road. Drive ___miles from the Nacimiento Summit to the trail head the Vaciente Trail. Viciente Camp is ~2miles DOWN from Cone Peak Road. From Vacient Flat Camp hike down drainage 60M to the center of plot from fire ring in last campsite by creek bed. Most times of year the creek bed is dry.,UCD Trimble,10,636017.59,3988181.18,3.3,yes,475,6.568222046,20,231,231,4,1,riparian," Center of plot is just on edge of trail. Steep canyon in here, we had a hard time finding a spot to put plot w/o being too close to #420. T.P. in plot. 1/2 of plot steep on erroding hillside, 1/2 on flat creek and flood zone. Laying tape down. high diversity, lots of tiny seedlings. No apparent infection in here. ",Not far from appearingly heavily used large camp site. Trail going right through center. Fire burned LIDE in plot.,,,,,neg '09,1,1,,,,1,,0,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BS050,BSVIC,2007,2,,1,1,,1,1,0,,,,0,0,1,0,n/a,N/A,N/A,N/A,2,3,5,"1916,1985, 1999, 2008",1,,,,,,,,1,,,riparian,1,1,,,,0,1,yes,yes,yes,Vaciente Flat Trail/ Cone Peak Road,USFS,1,"USFS. Vaciente Flat Trail, Hwy 1, Nacimiento Fergusen Road (south of Limekiln SP) up to the top or summit, head north out on the Cone Peak Road (preferable 4x4) to your left when you get up to the top. Go all the way out to the Vaciente Flat trail head. (Might want to do the plots in this are as a backpacking trip it is a pretty good drop down to the bottom) Head down to the bottom, before you get to the 1st creek, right as you get to the redwoods. Plot is across the way in between 2 drainages on the confluence. Right off the side of the trail.look for ~30-20cm SESE log across creek. Below the confluence it should be tagged.",UCD Trimble,10,636969.00,3988655.00,6.6,yes,670,6.257189274,18,275,275,4,2,riparian,"moved plot due to steepness and lack of redwoods. Center is on small ""island"" in confluece of 2 small drainages. One of the drainages has a flowing creek  (in June), that draw is completely clogges w/TODI. Laying tap down a bit, giving it slack over the drainages while we take distance measurements to individual trees. Tag#144, 259degrees @13.1m on downed SESE log across the 2 creeks. Morning glory (Convolvulus) taking over a lot of plants in here. Dense and ugly in here!",Fire evidence in here . ,,,,,neg '09,1,1,,,,,,none,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BS052,BSVIC,2007,2,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,1,3,5,"1911, 1930, 1985, 2008",1,1,,1,,,1,,1,,,,1,,0,0,0,0,1,yes,yes,no,Vaciente Flat Trail/ Kirk Creek Cmpgd,USFS,1,"USFS. Viciente Trail; Park at Kirk Creek Campground on East side of highway not in the campground. It is just north of Nacimiento Road. Go up Vicente Creek Trailhead (across from campground along HWY1). Follow up and up (~3 miles?) until get to 2nd major patch of SESE forest that the trail passes through. Plot is above trail about 60-70m. There are two SESE stands to the S above trail and the plot includes the 2nd, higher patch. ",UCD Trimble,10,635051.74,3986466.81,5,yes,541,6.7639184,32,312,312,1,2,upper-slope,"First couple of ""trees"" are actually a large clump of SESE that are broken up into groups as best as could be done based on the ""rules"" of it having to be connected above ground, but probably are all one individual. Very open understory. Not exactly the best representation of ""SESE forest"" but a patch of SESE amongst oak woodland. Definitely on edge of habitat for SESE. Some seedlings difficult to ID betwen QUAG and QUPA. All SESE are sparse. Plot was labeled as disease level 2 but no obviously dead trees in the area. Lots of SESE debris that does not make the 20c.",,,,,1,-,1,1,1,1,,1,,0,,,none,,none,none,,,1,1,,0,,,,,,,,,,,,,,1,4,,,,,,,,0,,,,,,,
53,BS053,BSVIC,2007,2,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,1,3,5,"1911, 1930, 1985, 2008",1,1,,1,,,1,,1,,,,1,1,0,0,0,0,1,yes,yes,no,Vaciente Flat Trail/ Kirk Creek Cmpgd,USFS,1,"USFS. Viciente Trail; Park at Kirk Creek Campground on East side of highway not in the campground. It is just north of Nacimiento Road. Go up Vicente Creek Trailhead (across from campground along HWY1). Follow up and up before campsite, come to open more gentle grassy ridge. Head down grassy ridge and cut down into forest before there are trees across the ridge. Head down STEEP open understory dougfir/Redwood forest. Large clearing near plot.",UCD Trimble,10,634566.71,3986362.55,4.3,yes,317,6.889533997,38,347,347,2,2,mid-slope," Dougfir in the area as well as LIDE. Large gap to the S & SW of and in plot. Heavily vegetated in gap. Symptomatic bays in plot. Definitely missed seedlings in the S,SE part of plot due to thick vegetation. Large Dougfirs in area. Plot center is located at the end of large SESE log that runs 240degrees W. Candy cane actually stuck in end of log. Huge veg diversity in here. ",Lots of trails through here. Probably just game trails.,1,2018,,,0,1,1,1,1,,1,,0,,,none,,none,none,,,,,,1,,,,,,,,,,,,,,1,4,,,,,,4,Globisporangium,1,,,,,,,
54,BS054,BSSC,2007,1,,0,,,,1,0,,,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,1,,1,,,,,,,,,,,,,,1,yes,yes,yes,San Copoforo/ Foundation for the Preservation of the Mahayana Tradition,USFS,1,USFS. San Copoforo; Road is on FS land but to get through gates access was granted from FPMT (Foundation for the Preservation of the Mahayana Tradition) and caretaker Ian Livingston. Main access road is just a bit south of Ragged Point down by the Monterey County line on E side of HWY. Through gate and then follow road up all the way to the top of the ridge where road splits. Head to the right (south) driving up road to where it starts to head East. Park. Follow old road cut down to ~W and then continue down grassy ridge until enter forest.,UCD Trimble,10,652418.32,3961612.99,4,yes,558,6.338332653,34,310,310,4,5,mid-slope,"Plot is on edge/border with grassland  Open understory. Small draw has its start in the plot. Cankers on some of the Quag, but not good symptoms on Quag. Late in the season so many of the plants are dead and difficult to ID or give cover classes for. Loose soil and steep, right below a ridgeline.",Grazing in grasslands nearby.,,,,1,-,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,
